trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",25,0,-59.66179939992207,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",30,0,-87.53568991015888,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",20,0,-198.64959706472882,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 5}",0
112,False,"{'a': 0.001, 'e': 0.894938748929031}",25,0,-108.57631816517744,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",20,0,-60.49746703945265,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",25,0,-139.45562243299662,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",30,0,-155.02603073147236,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",25,10,-72.97248497882167,"{0: 9, 1: 1, 2: 2, 3: 3, 4: 0}",1
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",25,0,-156.196399534767,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",25,0,-102.05298942666323,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",25,0,-80.4794024519498,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",20,0,-29.15822427957915,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",25,0,-89.56998897755307,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",20,0,-64.06332742209905,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",25,0,-24.059963713900718,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",20,10,-11.115840773308157,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",20,0,-176.75327824693173,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 4}",0
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",20,0,-238.83527084413598,"{0: 7, 1: 1, 2: 8, 3: 0, 4: 4}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",20,0,-158.5008273058359,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
128,False,"{'a': 0.001, 'e': 0.880733672597157}",20,0,-105.6323776876906,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",25,2,-119.71036078937868,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 2}",1
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",20,0,-67.96501920127942,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",20,0,-92.39243051506803,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",20,0,8.949404333283665,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",30,0,-170.88996034133677,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",30,3,-49.82835038989836,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 0}",1
135,False,"{'a': 0.001, 'e': 0.874590064603334}",25,0,-138.54594759614943,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",20,0,-27.571296004085326,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,0,-118.1392244652859,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",25,0,-134.99105922912315,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",30,0,-151.44284182791694,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",25,0,-154.37155485211116,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,2,-110.9777809648263,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",25,0,-103.82697782000601,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
143,False,"{'a': 0.001, 'e': 0.867621256485914}",20,2,-29.66420484398254,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",20,0,-24.93215654275585,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
145,False,"{'a': 0.001, 'e': 0.865887748059205}",20,0,-96.02469141151776,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",25,0,-111.85277415653988,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",20,0,-38.69381930481943,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",25,9,-86.92377427563846,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",20,0,-131.28283882779027,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",20,0,-51.70072091984675,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",20,0,-53.5705118802905,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.001, 'e': 0.8598476986592055}",30,10,-140.08505828833918,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
153,False,"{'a': 0.001, 'e': 0.8589882807411234}",20,0,-11.800254314522476,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
154,False,"{'a': 0.001, 'e': 0.8581297218113938}",35,0,-230.93121309975774,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
155,False,"{'a': 0.001, 'e': 0.8572720210114575}",30,0,-88.25647873676716,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
156,False,"{'a': 0.001, 'e': 0.8564151774836135}",25,11,-12.112123623286209,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.001, 'e': 0.8555591903710185}",30,0,-147.0404100944065,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
158,False,"{'a': 0.001, 'e': 0.8547040588176851}",20,0,-69.75357984308317,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.001, 'e': 0.8538497819684817}",25,0,-89.03881365464457,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
160,False,"{'a': 0.001, 'e': 0.8529963589691315}",25,0,-14.456474489907878,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
161,False,"{'a': 0.001, 'e': 0.8521437889662113}",20,15,-1.385846141778201,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.001, 'e': 0.8512920711071511}",25,0,-112.33314623270215,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
163,False,"{'a': 0.001, 'e': 0.850441204540233}",30,0,-142.2978797758109,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
164,False,"{'a': 0.001, 'e': 0.8495911884145902}",25,0,-138.02840064641504,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
165,False,"{'a': 0.001, 'e': 0.8487420218802068}",20,0,-89.16284089791318,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
166,False,"{'a': 0.001, 'e': 0.8478937040879159}",20,0,-47.71079089531437,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
167,False,"{'a': 0.001, 'e': 0.8470462341893996}",20,0,-29.83061681939673,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
168,False,"{'a': 0.001, 'e': 0.8461996113371882}",25,0,-138.84877823181805,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",1
169,False,"{'a': 0.001, 'e': 0.8453538346846587}",20,0,-130.11928206990413,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
170,False,"{'a': 0.001, 'e': 0.8445089033860343}",35,0,-173.53114984327183,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
171,False,"{'a': 0.001, 'e': 0.8436648165963837}",25,0,-83.30744256028407,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
172,False,"{'a': 0.001, 'e': 0.8428215734716199}",25,0,-81.90873247123746,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
173,False,"{'a': 0.001, 'e': 0.8419791731684999}",25,0,-119.87470686530128,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
174,False,"{'a': 0.001, 'e': 0.8411376148446232}",20,14,4.335976811258781,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.001, 'e': 0.8402968976584314}",25,0,-88.5757048897259,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.001, 'e': 0.8394570207692074}",20,0,-59.89606336907203,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
177,False,"{'a': 0.001, 'e': 0.838617983337074}",20,0,-92.32023130294513,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
178,False,"{'a': 0.001, 'e': 0.8377797845229938}",30,0,-60.27435059361,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
179,False,"{'a': 0.001, 'e': 0.8369424234887681}",20,0,-81.4925988345263,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
180,False,"{'a': 0.001, 'e': 0.8361058993970355}",20,8,-30.024941444184748,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
181,False,"{'a': 0.001, 'e': 0.835270211411272}",25,0,-82.17056598159647,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
182,False,"{'a': 0.001, 'e': 0.8344353586957896}",20,0,-120.64980127286911,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
